genre_id,genre
1,"Body, Mind & Spirit"
2,Language Arts & Disciplines
3,Reference
4,History
5,Family & Relationships
6,Fiction
7,Juvenile Nonfiction
8,Art
9,Foreign Language Study
10,Travel
11,Literary Collections
12,Business & Economics
13,Drama
14,Religion
15,Juvenile Fiction
16,Biography & Autobiography
17,Humor
18,Political Science
19,Social Science
20,Literary Criticism
21,Poetry
22,Comics & Graphic Novels
23,Music
24,Antiques & Collectibles
25,Computers
26,Psychology
27,Philosophy
28,Nature
29,Science
30,Young Adult Fiction
31,Education
32,Self-Help
33,Cooking
34,Architecture
35,Transportation
36,Performing Arts
37,Pets
38,Photography
39,Sports & Recreation
40,Technology & Engineering
41,Medical
42,Crafts & Hobbies
43,Health & Fitness
44,Mathematics
45,Law
